"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Participatory Design as a Tool for Optimizing an Intelligent Transport System","E. N. Vasilieva; Y. S. Artamonova; E. S. Vasiliev; A. V. Brega","Volgograd State University, Volgograd, Russia; Moscow Technical University of Communications and Informatics, Moscow, Russia; Volgograd State University, Volgograd, Russia; Moscow Technical University of Communications and Informatics, Financial University Under the Government of the Russian Federation, Moscow, Russia","2023 Systems of Signals Generating and Processing in the Field of on Board Communications","11 Apr 2023","2023","","","1","5","Current trends in the design of road systems are driven by the digitalization process. Work on the introduction of intelligent transport systems is being carried out all over the world, because the improvement of the road network is an important element in creating comfortable conditions for the movement of people in an urbanized environment; a tool for improving road safety. Based on interdisciplinary research methods in the framework of urban planning, the paper proposes a methodology for assessing the prospects for the development of an intelligent city transport system within the framework of the concept of participatory design. The formation of the transport system is seen as a process of coordination of institutional and civil needs. The goal of the joint work of urban planners and civil society is to improve the safety of road infrastructure, not only through the development and implementation of quality standards, but also through the internalization (recognition) of the value of new technologies by the society. It is necessary to introduce the principles of participatory design of the transport system into the development of the road network, the urban space should remain free for co-creation. The problem of the study is that technologies for improving road safety, including the use of artificial intelligence, automation systems for traffic management processes depending on the rhythm of the city, weather conditions, time of day (traffic flow detectors, CCTV cameras, ""smart traffic lights"", weather stations, vehicle traffic sensors, navigation information systems, weather information display systems, environmental pollution sensors, traffic control centers, etc.) can be perceived by citizens primarily as devices that restrict freedom of movement, and not as means of improving road safety","2768-0118","979-8-3503-9772-7","10.1109/IEEECONF56737.2023.10091968","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10091968","intelligent transport system;participatory design;assessment methodology;road safety","Urban areas;Sociology;Market research;Road safety;Sensor systems;Safety;Security","artificial intelligence;intelligent transportation systems;road safety;road traffic;road vehicles;smart cities;town and country planning;traffic engineering computing","artificial intelligence;automation systems;CCTV cameras;digitalization process;environmental pollution sensors;intelligent city transport system;navigation information systems;participatory design;quality standards;road infrastructure;road network;road safety;road systems;smart traffic lights;traffic control centers;traffic flow detectors;traffic management processes;urban planning;urban space;urbanized environment;vehicle traffic sensors;weather information display systems;weather stations","","","","18","IEEE","11 Apr 2023","","","IEEE","IEEE Conferences"
"Reengineering Clinical Decision Support Systems for Artificial Intelligence","O. Strachna; O. Asan","Division of Health Informatics, Memorial Sloan Kettering Cancer Center, New York, United States; School of Systems and Enterprises, Stevens Institute of Technology, New Jersey, United States","2020 IEEE International Conference on Healthcare Informatics (ICHI)","12 Mar 2021","2020","","","1","3","There has been a tremendous growth of digital health applications within healthcare. Clinicians are inundated with new types of data to synthesize in a timely manner to make a clinical decisions about the care of their patients. The overwhelming abundance of data leads to physician burnout, which is a major problem within healthcare. In parallel, there is an immense hype building up about implementation of Artificial Intelligence (AI) technologies, such as Machine Learning or Deep Learning, to augment clinician decision making processes. Healthcare is a highly regulated environment so it's imperative to involve clinicians and data scientists in the entire model development, validation and implementation lifecycle. There ought to be a mechanism in place for integration of human feedback to build trust in the AI model, through human in the loop implementation models and participatory design approaches. The overarching aim of this stury is to formulate a problem statement and propose the development a system dynamics model highlighting the feedback loops within clinical decision-making workflows leading to diffusion of innovation of AI within healthcare. We propose system dynamics modelling as a mechanism to articulate the problems that are best suited for AI models, and conceptualize how the models would fit into the current workflow.","2575-2634","978-1-7281-5382-7","10.1109/ICHI48887.2020.9374370","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9374370","clinical decision support systems;artificial intelligence;machine learning;shared decision-making;human factors;systems engineering;systems thinking","Technological innovation;System dynamics;Decision making;Medical services;Floods;Artificial intelligence;Informatics","decision making;decision support systems;deep learning (artificial intelligence);health care;medical computing;medical information systems","healthcare;physician burnout;artificial intelligence technologies;data scientists;human feedback;AI model;system dynamics model;feedback loops;clinical decision-making workflows;clinical decision support systems;digital health applications;machine learning;deep learning","","1","","22","IEEE","12 Mar 2021","","","IEEE","IEEE Conferences"
"An Approach Based on Question Answering Mechanism for Handling Unexpected Exceptions in Collaborative Design","F. Tian; R. Li; B. Chen; Q. Zheng","School ofElectronics and Information Engineering, Xi''an Jiaotong University, Xi'an, China; School ofElectronics and Information Engineering, Xi''an Jiaotong University, Xi'an, China; School ofElectronics and Information Engineering, Xi''an Jiaotong University, Xi'an, China; School ofElectronics and Information Engineering, Xi''an Jiaotong University, Xi'an, China","2006 10th International Conference on Computer Supported Cooperative Work in Design","4 Dec 2006","2006","","","1","6","At present, it is difficult to handle unexpected exceptions in collaborative design. Ad-hoc methods are important ones, but how to utilize the expert experience efficiently, especially, store those in structured format and not to lose any information and interact under more user-friendly interface during handling exceptions, seem a mission impossible. Aiming at those, we proposed a question answering mechanism based approach for handling unexpected exceptions in collaborative design, which have some good characteristics, 1) unexpected exception handling is treated as a question answering mechanism so as to be more user-friendly, 2) in which exception handler can use natural language to define an exception; 3) expert experience are stored in natural language, there is no information loss; 4) higher efficiency, extendability and precision. In this paper, two approaches for mining similar records are proposed, and their performance comparison is shown","","1-4244-0164-X","10.1109/CSCWD.2006.253095","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4019131","CSCW;Collaborative Design;Exception handling;Machine Learning","Collaborative work;Natural languages;Design engineering;Machine learning;Concurrent computing;International collaboration;Application software;Computer applications;Concurrent engineering;Product development","data mining;exception handling;groupware;human computer interaction;information retrieval;natural languages;user interfaces","question answering mechanism;exception handling;collaborative design;user-friendly interface;natural language;data mining","","1","","8","IEEE","4 Dec 2006","","","IEEE","IEEE Conferences"
"Blockchain and Ontology Methods: A Dual Fusion Framework of Knowledge And Data for Collaborative Design","F. Liang; Z. Lin","School of Electromechanical Engineering, Guangdong University of Technology, Guangzhou, China; School of Electromechanical Engineering, Guangdong University of Technology, Guangzhou, China","2021 International Conference on Artificial Intelligence and Electromechanical Automation (AIEA)","2 Sep 2021","2021","","","241","246","In order to improve the manufacturability of products and enhance the efficiency of communication during the co-design process, it is important to focus on the problem of inconsistent representation of concepts in the design and manufacturing domains; In the co-design process, it is important to consider the management of relevant data, such as the management of data upload, modification and access rights. Based on the above issues, this paper proposes a framework for dual fusion of knowledge data in co-design based on blockchain and ontology methods. Firstly, the ontology method is used to establish the framework for knowledge unification, and the knowledge and concepts in the design and manufacturing fields are unified so as to realize the purpose of concept unification and meet the needs of efficient communication. Secondly, the blockchain method is used to establish the data management system. Through signing the smart contract, the use authority of the data involved is limited, so as to realize the data fusion in the co-design process. In the co-design process, parallel and integrated design and manufacturing processes can be realized, and product manufacturability and communication efficiency between designers and manufacturing engineers can be improved through knowledge fusion and data fusion.","","978-1-6654-3265-8","10.1109/AIEA53260.2021.00058","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9525544","collaborative design;data and knowledge fusion;ontology;blockchain;manufacturability","Knowledge engineering;Manufacturing processes;Smart contracts;Data integration;Collaboration;Ontologies;Permission","blockchains;contracts;design engineering;groupware;knowledge management;manufactured products;manufacturing processes;ontologies (artificial intelligence);process design;production engineering computing;sensor fusion","ontology method;dual fusion framework;collaborative design;co-design process;knowledge unification;manufacturing fields;blockchain method;data management system;data fusion;manufacturing processes;product manufacturability;communication efficiency;knowledge fusion;parallel and integrated design process;data upload management;smart contract","","","","9","IEEE","2 Sep 2021","","","IEEE","IEEE Conferences"
"Conflict management in computer supported collaborative design. The methodology and applications","V. Taratoukhine","Department of Enterprise Integration, Cranfield University, Bedford, UK","Proceedings 2002 IEEE International Conference on Artificial Intelligence Systems (ICAIS 2002)","10 Dec 2002","2002","","","152","157","The main goal of this paper is to describe the theory and practice of conflict management in computer supported collaborative design. An analysis of existing methods and techniques addressing the problem of mismatch control in the collaborative design environment is described. The methodology of conflict management named intelligent distributed mismatch control (IDMC) is represented. The proposed general methodology consists of two submodels: the process model of IDMC and structural model conceptual multi-agent framework for IDMC development. The application of the proposed methodology for aerospace collaborative design is presented.","","0-7695-1733-1","10.1109/ICAIS.2002.1048073","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1048073","","Collaboration;Application software;Artificial intelligence;Meeting planning;Process design;Virtual groups;Face detection;Humans;Engineering management;Intelligent control","groupware;intelligent design assistants;multi-agent systems;aerospace computing","conflict management;computer supported collaborative design;intelligent distributed mismatch control;process model;structural model;multi-agent framework;aerospace collaborative design","","4","","11","IEEE","10 Dec 2002","","","IEEE","IEEE Conferences"
"Participatory Design and End-User Programming for Human-Robot Interaction","E. Senft; D. J. Porfirio; K. Winkle","Department of Computer Sciences, University of Wisconsin–Madison, Madison, USA; Department of Computer Sciences, University of Wisconsin–Madison, Madison, USA; Division of Robotics, Perception and Learning, KTH Royal Institute of Technology, Stockholm, Sweden","2022 17th ACM/IEEE International Conference on Human-Robot Interaction (HRI)","29 Sep 2022","2022","","","1290","1292","The Participatory Design and End-User Program-ming for Human-Robot Interaction (HRI) workshop aims to advance research on how to design systems that can be used by end users to program robots. There tends to be a fracture in HRI between the technical designers of robot programs (often engineers or computer scientists) and the actual users of such robots. Developers have the capabilities to program robots but often lack insights possessed by domain experts, sometimes leading to technically interesting but impractical systems. With this workshop, we aim to bridge two different methods often used individually within the wider HRI community to involve end users in robot program design: Participatory Design (PD) and End-User Programming (EUP). Both methods empower end users to co-produce robots addressing real-world needs. However, there have been limited opportunities to unite researchers who specialize in these areas and engage in mutual learning. We will address this shortcoming with a full-day workshop, which will put the PD and EUP communities in touch, inviting speakers from both sides and welcoming a wide range of publications from describing new end-user programming methods to compiling insights learned from conducting participatory design studies.","","978-1-6654-0731-1","10.1109/HRI53351.2022.9889648","National Science Foundation(grant numbers:1925043); NASA(grant numbers:80NSSC19M0124); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9889648","End-User Programming;Human-Robot Inter-action;Personalization;Participatory Design","Bridges;Conferences;Programming;Robots","control engineering computing;human-robot interaction;learning (artificial intelligence);robot programming","human-robot interaction;robot program design;HRI;end-user programming;participatory design;system design;PD;EUP","","","","0","IEEE","29 Sep 2022","","","IEEE","IEEE Conferences"
"Analysis and Reasoning of Collaborative Design Activities Using Fuzzy-Timing Petri Nets Based on CSCW","G. -y. Huang","The College of Information Science and Engineering, Yashan University, Qinhuangdao, China","2006 International Conference on Machine Learning and Cybernetics","4 Mar 2009","2006","","","1967","1972","Fuzzy-timing high-level Petri nets and workflow technology are introduced to model and analyze collaborative design activities. A set of reasoning rules and criteria are proposed to manage the uncertainty of temporal parameters in collaborative activities, verify the temporal logic and analyze quantitatively the collaboration performance. An example is given to explain how to model collaborative design activities and analyze their performance by using these rules and criteria","2160-1348","1-4244-0061-9","10.1109/ICMLC.2006.259126","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4028387","Collaborative design;workflow;quantitative analysis;fuzzy-timing high 1evel Petri nets","Collaboration;Petri nets;Collaborative work;Fuzzy logic;Uncertainty;Performance analysis;Fuzzy reasoning;Design engineering;Fuzzy sets;Probability","formal specification;fuzzy reasoning;groupware;Petri nets;temporal logic;uncertainty handling;workflow management software","collaborative design activities;fuzzy-timing high-level Petri nets;CSCW;workflow technology;reasoning rules;temporal parameters;temporal logic;computer-supported cooperative work","","","","12","IEEE","4 Mar 2009","","","IEEE","IEEE Conferences"
"A Multi-Agent Based Information Integration Platform for Computer Supported Collaborative Design","Y. Qu; F. -c. Li; X. -d. Wu","Hebei University of Science and Technology, Shijiazhuang, China; Hebei University of Science and Technology, Shijiazhuang, China; Hebei University of Technology, Tianjin, China","2006 International Conference on Machine Learning and Cybernetics","4 Mar 2009","2006","","","164","168","This paper puts forward a multi-agent integrated platform. By studying the internal structures, ways of action and communication, functions, process algorithm, implementation patterns of different types of agents, and the specific method to realize autonomous and cooperative agent, it puts forward a mode of establishing enterprise's collaborative design environment. This mode takes the agents as distributed group decision making units; offers the enterprise information integration platform with clear structure, and makes it more open, integrated, and adaptive","2160-1348","1-4244-0061-9","10.1109/ICMLC.2006.258890","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4028051","Agent;collaborative design;information integration;computer supported collaborative system","Collaboration;Collaborative work;Design automation;Collaborative software;Databases;Design engineering;Resource management;Data engineering;Technology management;Environmental economics","distributed decision making;groupware;multi-agent systems;user interfaces","multiagent based enterprise information integration platform;computer supported collaborative design;autonomous agent;cooperative agent;software agent reusability;interface agent;distributed group decision making units","","","","5","IEEE","4 Mar 2009","","","IEEE","IEEE Conferences"
"Explaining for developing a shared context in collaborative design","P. J. Brezillon","Laboratoire d'Informatique de Paris, University Pierre and Marie Curie, France","2009 13th International Conference on Computer Supported Cooperative Work in Design","26 May 2009","2009","","","72","77","Collaborative design often meets together experts of different domains. Such groups need to share a context but often limited this one is often limited to few elements as common language, common tools and a same goal (the design process). Our goal is to developing a shared context to make compatible different experts' viewpoints. Making context explicit and shared supposes some explanatory capability. In this paper, we point out how context and explanation are intertwined, and the need of a uniform representation of elements of reasoning and of contexts for offering a larger spectrum of explanation in a collaborative design.","","978-1-4244-3534-0","10.1109/CSCWD.2009.4968037","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4968037","Explanation generation;shared context;contextual graphs;collaborative design","Collaborative work;Humans;International collaboration;Expert systems;Knowledge engineering;Process design;Information retrieval;Content based retrieval;Collaborative software;Artificial intelligence","graph theory;groupware;inference mechanisms;knowledge representation","collaborative design;e-collaboration;contextual graphs","","3","","14","IEEE","26 May 2009","","","IEEE","IEEE Conferences"
"Study on information integration for product development of collaborative design chain","Youyuan Wang; Jianhua Wang","School of Aeronautics and Mechanical Engineering, Nanchang Hong Kong University, Nanchang, China; Nanchang Hong Kong University, Nanchang, Nanchang, China","2009 Chinese Control and Decision Conference","7 Aug 2009","2009","","","5094","5099","The market competition is the product competition in the final analysis. Collaborative design chain is a system which satisfies the market and consumers with product or services. A collaborative design chain is a dynamic network system which organizations provide products and services to meet customer or marketing requirements, it is compose of core enterprise, strategic partners, suppliers, distributors and customers. This requires a meaningful exchange of product data across different partners, Information sharing is vital important to success of inter-enterprise collaborative design chain. This paper focuses on discussing information integration among mutil-enterprises, introduce structure and integration development frame of collaborative design chain, put forward a information integration model of the design chain which based on ontology and Web services, the model can satisfy demand that dynamic, heterogeneous and semantic interoperability of the collaborative design chain.","1948-9447","978-1-4244-2722-2","10.1109/CCDC.2009.5194977","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5194977","Information Integration;Collaborative Design China;Semantic;Ontology;Web Services","Product development;Collaboration;Product design;Collaborative work;Aerodynamics;Ontologies;Costs;Web services;Mechanical engineering;Companies","ontologies (artificial intelligence);open systems;product design;product development;production engineering computing;Web services","product development;inter-enterprise collaborative design chain;market competition;product competition;dynamic network system;information integration;Web services;semantic interoperability","","2","","26","IEEE","7 Aug 2009","","","IEEE","IEEE Conferences"
