Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Collaborative design of software applications: the role of users","Human-centric Computing and Information Sciences","","8","1","10.1186/s13673-018-0129-6","Silvia MirriMarco RoccettiPaola Salomoni","2018","http://link.springer.com/article/10.1186/s13673-018-0129-6","Article"
"Abstracts from the 2017 Society of General Internal Medicine Annual Meeting","Journal of General Internal Medicine","","32","2","10.1007/s11606-017-4028-8","","2017","http://link.springer.com/article/10.1007/s11606-017-4028-8","Article"
"Proceedings of the Fifth Biennial Conference of the Society for Implementation Research Collaboration (SIRC) 2019: where the rubber meets the road: the intersection of research, policy, and practice - part 2","Implementation Science","","15","2","10.1186/s13012-020-01033-8","","2020","http://link.springer.com/article/10.1186/s13012-020-01033-8","Article"
"Abstracts from the 2020 Annual Meeting of the Society of General Internal Medicine","Journal of General Internal Medicine","","35","1","10.1007/s11606-020-05890-3","","2020","http://link.springer.com/article/10.1007/s11606-020-05890-3","Article"
"Stakeholder Engagement for Improved School Policy: Development and Implementation","Canadian Journal of Public Health","","101","2","10.1007/BF03405621","Claire Avison","2010","http://link.springer.com/article/10.1007/BF03405621","Article"
"A reference framework and overall planning of industrial artificial intelligence (I-AI) for new application scenarios","The International Journal of Advanced Manufacturing Technology","","101","9 - 12","10.1007/s00170-018-3106-3","Xianyu ZhangXinguo MingZhiwen LiuDao YinZhihua ChenYuan Chang","2019","http://link.springer.com/article/10.1007/s00170-018-3106-3","Article"
"THE “NUTS AND BOLTS” OF BEHAVIORAL INTERVENTION DEVELOPMENT: STUDY DESIGNS, METHODS AND FUNDING OPPORTUNITIES","Annals of Behavioral Medicine","","51","1","10.1007/s12160-017-9903-3","","2017","http://link.springer.com/article/10.1007/s12160-017-9903-3","Article"
"Abstracts from the 2019 Annual Meeting of the Society of General Internal Medicine","Journal of General Internal Medicine","","34","2","10.1007/s11606-019-05007-5","","2019","http://link.springer.com/article/10.1007/s11606-019-05007-5","Article"
"Aligning AI Optimization to Community Well-Being","International Journal of Community Well-Being","","3","4","10.1007/s42413-020-00086-3","Jonathan Stray","2020","http://link.springer.com/article/10.1007/s42413-020-00086-3","Article"
"A qualitative research framework for the design of user-centered displays of explanations for machine learning model predictions in healthcare","BMC Medical Informatics and Decision Making","","20","1","10.1186/s12911-020-01276-x","Amie J. BardaChristopher M. HorvatHarry Hochheiser","2020","http://link.springer.com/article/10.1186/s12911-020-01276-x","Article"
