Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Centrality of AI Quality in MLOPs Lifecycle and Its Impact on the Adoption of AI/ML Solutions","Intelligent Systems Design and Applications","","","","10.1007/978-3-031-35510-3_42","Arunkumar AkkineniSomayeh KoohborfardhaghighiShailesh Singh","2023","http://link.springer.com/chapter/10.1007/978-3-031-35510-3_42","Chapter"
"Stakeholder Management in Technological Projects and the Opportunity of Artificial Intelligence. A Case Study","Digital Transformation in Industry","","","","10.1007/978-3-031-30351-7_23","Manuel Otero-MateoAlberto Cerezo-NarváezAndrés Pastor-FernándezMargarita Castilla-BareaMagdalena Ramírez-Peña","2023","http://link.springer.com/chapter/10.1007/978-3-031-30351-7_23","Chapter"
"Collaborative Explainable AI: A Non-algorithmic Approach to Generating Explanations of AI","HCI International 2021 - Late Breaking Posters","","","","10.1007/978-3-030-90176-9_20","Tauseef Ibne MamunRobert R. HoffmanShane T. Mueller","2021","http://link.springer.com/chapter/10.1007/978-3-030-90176-9_20","Chapter"
"Participatory Design Landscape for the Human-Machine Collaboration, Interaction and Automation at the Frontiers of HCI (PDL 2021)","Human-Computer Interaction – INTERACT 2021","","","","10.1007/978-3-030-85607-6_78","Wiesław KopećCezary BieleMonika KornackaGrzegorz PochwatkoAnna JaskulskaKinga SkorupskaJulia PaluchPiotr GagoBarbara KarpowiczMarcin NiewińskiRafał Masłyk","2021","http://link.springer.com/chapter/10.1007/978-3-030-85607-6_78","Chapter"
"Artificial Intelligence Project Success Factors—Beyond the Ethical Principles","Information Technology for Management: Business and Social Issues","","","","10.1007/978-3-030-98997-2_4","Gloria J. Miller","2022","http://link.springer.com/chapter/10.1007/978-3-030-98997-2_4","Chapter"
"Smart Circular Cities and Stakeholders Engagement: A Literature Review to Explore the Role of Artificial Intelligence","Computational Science and Its Applications – ICCSA 2023 Workshops","","","","10.1007/978-3-031-37117-2_18","Sabrina SaccoFerdinando Di MartinoMaria Cerreta","2023","http://link.springer.com/chapter/10.1007/978-3-031-37117-2_18","Chapter"
"AIS Adoption Challenges: The Role of Interactions Between Humans and Artificial Intelligence in Adoption of Adaptive Learning","HCI International 2022 - Late Breaking Papers. Interaction in New Media, Learning and Games","","","","10.1007/978-3-031-22131-6_29","Baran Osmanoglu","2022","http://link.springer.com/chapter/10.1007/978-3-031-22131-6_29","Chapter"
"Rapid Prototyping Platform for Multi-stakeholder Involvement in the Design of User Interaction","Human-Computer Interaction","","","","10.1007/978-3-031-35596-7_19","Anjelika Votintseva","2023","http://link.springer.com/chapter/10.1007/978-3-031-35596-7_19","Chapter"
"Shadow Display Design Concepts for AI Enhanced Environments","ArtsIT, Interactivity and Game Creation","","","","10.1007/978-3-031-28993-4_26","Özge RaudanjokiJonna HäkkiläMinna PakanenAshley Colley","2023","http://link.springer.com/chapter/10.1007/978-3-031-28993-4_26","Chapter"
"Developing Responsible Algorithmic Curation Features in Social Media Through Participatory Design","[   ] With Design: Reinventing Design Modes","","","","10.1007/978-981-19-4472-7_188","Kate Sangwon LeeHuaxin Wei","2022","http://link.springer.com/chapter/10.1007/978-981-19-4472-7_188","Chapter"
"Overview of Machine Learning Processes Used in Improving Security in API-Based Web Applications","Artificial Intelligence Application in Networks and Systems","","","","10.1007/978-3-031-35314-7_33","Emil Marian PașcaRudolf ErdeiDaniela DelinschiOliviu Matei","2023","http://link.springer.com/chapter/10.1007/978-3-031-35314-7_33","Chapter"
"Cocreate as a Participatory Design Methodology in Health Care","Design in the Era of Industry 4.0, Volume 3","","","","10.1007/978-981-99-0428-0_38","Aashrita IndurtiAbhilashaAkshita MehtaDimple BhadaniKriti DhimanShaon SenguptaShazia NazeemShuruthi Balasamy Sridhar","2023","http://link.springer.com/chapter/10.1007/978-981-99-0428-0_38","Chapter"
"Using Participatory Design Studies to Collaboratively Create Teacher Dashboards","Artificial Intelligence  in Education. Posters and Late Breaking Results, Workshops and Tutorials, Industry and Innovation Tracks, Practitioners’ and Doctoral Consortium","","","","10.1007/978-3-031-11647-6_103","Indrani DeyRachel DicklerLeanne HirshfieldWilliam GossMike TissenbaumSadhana Puntambekar","2022","http://link.springer.com/chapter/10.1007/978-3-031-11647-6_103","Chapter"
"A Toolkit to Enable the Design of Trustworthy AI","HCI International 2021 - Late Breaking Papers: Multimodality, eXtended Reality, and Artificial Intelligence","","","","10.1007/978-3-030-90963-5_41","Stefan SchmagerSonia Sousa","2021","http://link.springer.com/chapter/10.1007/978-3-030-90963-5_41","Chapter"
"Towards Participatory Design of City Soundscapes","Advances in Information and Communication","","","","10.1007/978-3-030-73100-7_35","Aura NeuvonenKari SaloTommi Mikkonen","2021","http://link.springer.com/chapter/10.1007/978-3-030-73100-7_35","Chapter"
"Stakeholder Engagement in the Management of Innovative Territorial Development: A Platform Approach","'Smart Technologies' for Society, State and Economy","","","","10.1007/978-3-030-59126-7_171","Viktoriya V. DegtyarevaSvetlana S. BakhtinaGalina I. Tatenko","2021","http://link.springer.com/chapter/10.1007/978-3-030-59126-7_171","Chapter"
"Design of Artificial Intelligence-Based Products: Barriers and Enablers","Design in the Era of Industry 4.0, Volume 3","","","","10.1007/978-981-99-0428-0_53","Santosh JagtapPrashant Goswami","2023","http://link.springer.com/chapter/10.1007/978-981-99-0428-0_53","Chapter"
"Design Intelligence - Taking Further Steps Towards New Methods and Tools for Designing in the Age of AI","Artificial Intelligence in HCI","","","","10.1007/978-3-030-77772-2_13","Jennifer Heier","2021","http://link.springer.com/chapter/10.1007/978-3-030-77772-2_13","Chapter"
"From ‘Smart-only’ Island Towards Lighthouse of Research and Innovation","Distributed, Ambient and Pervasive Interactions. Smart Environments, Ecosystems, and Cities","","","","10.1007/978-3-031-05463-1_8","Norbert A. StreitzChristine Riedmann-StreitzLúcio Quintal","2022","http://link.springer.com/chapter/10.1007/978-3-031-05463-1_8","Chapter"
"Requirements Elicitation Techniques and Tools in the Context of Artificial Intelligence","Intelligent Systems","","","","10.1007/978-3-031-21686-2_2","André Filipe de Sousa SilvaGeovana Ramos Sousa SilvaEdna Dias Canedo","2022","http://link.springer.com/chapter/10.1007/978-3-031-21686-2_2","Chapter"
"Comparing Analog and Digital Tools for Collaborative Design Ideation","[   ] With Design: Reinventing Design Modes","","","","10.1007/978-981-19-4472-7_58","Jonas FrichKim HalskovPeter Dalsgaard","2022","http://link.springer.com/chapter/10.1007/978-981-19-4472-7_58","Chapter"
