Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"[   ] With Design: Reinventing Design Modes","","","","","10.1007/978-981-19-4472-7","Gerhard BruynsHuaxin Wei","2022","http://link.springer.com/book/10.1007/978-981-19-4472-7","Book"
"Responsible AI and Analytics for an Ethical and Inclusive Digitized Society","Lecture Notes in Computer Science","","","","10.1007/978-3-030-85447-8","Dr. Denis DennehyAnastasia GrivaDr. Nancy PouloudiProf. Yogesh K. DwivediDr. Ilias PappasMatti Mäntymäki","2021","http://link.springer.com/book/10.1007/978-3-030-85447-8","Book"
"Information Systems","Lecture Notes in Business Information Processing","","","","10.1007/978-3-030-95947-0","Prof. Marinos ThemistocleousDr. Maria Papadaki","2022","http://link.springer.com/book/10.1007/978-3-030-95947-0","Book"
"Human-Computer Interaction – INTERACT 2021","Lecture Notes in Computer Science","","","","10.1007/978-3-030-85616-8","Carmelo ArditoRosa LanzilottiAlessio MaliziaHelen PetrieAntonio PiccinnoDr. Giuseppe DesoldaKori Inkpen","2021","http://link.springer.com/book/10.1007/978-3-030-85616-8","Book"
"Proceedings of the 24th International Symposium on Advancement of Construction Management and Real Estate","","","","","10.1007/978-981-15-8892-1","Prof. Gui YeProf. Hongping YuanProf. Jian Zuo","2021","http://link.springer.com/book/10.1007/978-981-15-8892-1","Book"
"HCI International 2021 - Late Breaking Papers: Multimodality, eXtended Reality, and Artificial Intelligence","Lecture Notes in Computer Science","","","","10.1007/978-3-030-90963-5","Prof. Constantine StephanidisMasaaki KurosuJessie Y. C. ChenGino FragomeniDr. Norbert StreitzDr. Shin'ichi KonomiHelmut DegenDr. Stavroula Ntoa","2021","http://link.springer.com/book/10.1007/978-3-030-90963-5","Book"
"Artificial Intelligence in HCI","Lecture Notes in Computer Science","","","","10.1007/978-3-030-77772-2","Helmut DegenDr. Stavroula Ntoa","2021","http://link.springer.com/book/10.1007/978-3-030-77772-2","Book"
"Research Challenges in Information Science","Lecture Notes in Business Information Processing","","","","10.1007/978-3-031-05760-1","Renata GuizzardiDr. Jolita RalytéProf. Dr. Xavier Franch","2022","http://link.springer.com/book/10.1007/978-3-031-05760-1","Book"
"Artificial Intelligence in HCI","Lecture Notes in Computer Science","","","","10.1007/978-3-030-50334-5","Helmut DegenLauren Reinerman-Jones","2020","http://link.springer.com/book/10.1007/978-3-030-50334-5","Book"
"Advances in Information and Communication","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-98015-3","Prof. Dr. Kohei Arai","2022","http://link.springer.com/book/10.1007/978-3-030-98015-3","Book"
"Machine Learning and Principles and Practice of Knowledge Discovery in Databases","Communications in Computer and Information Science","","","","10.1007/978-3-030-93736-2","Michael KampDr. Irena KoprinskaAdrien BibalTassadit BouadiBenoît FrénayLuis GalárragaJosé OramasLinara AdilovaYamuna KrishnamurthyBo KangChristine LargeronDr. Jefrey LijffijtTiphaine ViardPascal WelkeMassimiliano RuoccoErlend AuneDr. Claudio GallicchioGregor SchieleFranz PernkopfMichaela BlottHolger FröningGünther SchindlerDr. Riccardo GuidottiAnna MonrealeSalvatore RinzivilloPrzemyslaw BiecekEirini NtoutsiMykola PechenizkiyBodo RosenhahnChristopher BuckleyDaniela CialfiPablo LanillosMaxwell RamsteadTim VerbelenPedro M. FerreiraDr. Giuseppina AndresiniProf. Donato MalerbaIbéria MedeirosPhilippe Fournier-VigerM. Saqib NawazSebastian VenturaProf. Meng SunMin ZhouValerio BitettaIlaria BordinoAndrea FerrettiFrancesco GulloDr. Giovanni PontiLorenzo SeveriniRita RibeiroJoão GamaRicard GavaldàLee CooperNaghmeh GhazalehJonas RichiardiDamian RoqueiroDiego Saldana MirandaKonstantinos SechidisGuilherme Graça","2021","http://link.springer.com/book/10.1007/978-3-030-93736-2","Book"
"Product-Focused Software Process Improvement","Lecture Notes in Computer Science","","","","10.1007/978-3-030-64148-1","Dr. Maurizio MorisioProf. Marco TorchianoAndreas Jedlitschka","2020","http://link.springer.com/book/10.1007/978-3-030-64148-1","Book"
