Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Collaborative design of software applications: the role of users","Human-centric Computing and Information Sciences","","8","1","10.1186/s13673-018-0129-6","Silvia MirriMarco RoccettiPaola Salomoni","2018","http://link.springer.com/article/10.1186/s13673-018-0129-6","Article"
"Proceedings of the Fifth Biennial Conference of the Society for Implementation Research Collaboration (SIRC) 2019: where the rubber meets the road: the intersection of research, policy, and practice - part 2","Implementation Science","","15","2","10.1186/s13012-020-01033-8","","2020","http://link.springer.com/article/10.1186/s13012-020-01033-8","Article"
"Using Participatory Design to Inform the Connected and Open Research Ethics (CORE) Commons","Science and Engineering Ethics","","26","1","10.1007/s11948-019-00086-3","John HarlowNadir WeibelRasheed Al KotobVincent ChanCinnamon BlossRubi Linares-OrozcoMichelle TakemotoCamille Nebeker","2020","http://link.springer.com/article/10.1007/s11948-019-00086-3","Article"
"An ontology-based method for knowledge integration in a collaborative design environment","The International Journal of Advanced Manufacturing Technology","","34","9 - 10","10.1007/s00170-006-0670-8","Ling LingYujin HuXuelin WangChenggang Li","2007","http://link.springer.com/article/10.1007/s00170-006-0670-8","Article"
"A situation-aware safety service for children via participatory design","Journal of Ambient Intelligence and Humanized Computing","","6","2","10.1007/s12652-014-0225-z","Susanna Pantsar-SyväniemiMari ErvastiKaarina KarppinenAntti VäätänenVirpi OksmanEssi Kuure","2015","http://link.springer.com/article/10.1007/s12652-014-0225-z","Article"
"Design of Target Recognition System Based on Machine Learning Hardware Accelerator","Wireless Personal Communications","","102","2","10.1007/s11277-017-5211-2","Yu LiFengyuan YuQian CaiMeiyu QianPengfeng LiuJunwen GuoHuan YanKun YuanJuan Yu","2018","http://link.springer.com/article/10.1007/s11277-017-5211-2","Article"
"A task-oriented modular and agent-based collaborative design mechanism for distributed product development","Chinese Journal of Mechanical Engineering","","27","3","10.3901/CJME.2014.03.641","Jinfei LiuMing ChenLei WangQidi Wu","2014","http://link.springer.com/article/10.3901/CJME.2014.03.641","Article"
"Abstracts from the 2017 Society of General Internal Medicine Annual Meeting","Journal of General Internal Medicine","","32","2","10.1007/s11606-017-4028-8","","2017","http://link.springer.com/article/10.1007/s11606-017-4028-8","Article"
"Parameter coordination and optimization for collaborative design based on the constraints network","The International Journal of Advanced Manufacturing Technology","","32","11 - 12","10.1007/s00170-006-0433-6","Jie HuYinghong PengGuangleng Xiong","2007","http://link.springer.com/article/10.1007/s00170-006-0433-6","Article"
"A Machine Learning Approach for Mechanism Selection in Complex Negotiations","Journal of Systems Science and Systems Engineering","","27","2","10.1007/s11518-018-5369-5","Reyhan AydoğanIvan Marsa-MaestreMark KleinCatholijn M. Jonker","2018","http://link.springer.com/article/10.1007/s11518-018-5369-5","Article"
"26th Annual Conference of the International Society for Quality 
of Life Research","Quality of Life Research","","28","1","10.1007/s11136-019-02257-y","","2019","http://link.springer.com/article/10.1007/s11136-019-02257-y","Article"
"A peer-to-peer-based multi-agent framework for decentralized grid workflow management in collaborative design","The International Journal of Advanced Manufacturing Technology","","41","3 - 4","10.1007/s00170-008-1482-9","J. W. YinW. Y. ZhangY. LiH. W. Chen","2009","http://link.springer.com/article/10.1007/s00170-008-1482-9","Article"
"A remote CAE collaborative design system for complex product based on design resource unit","The International Journal of Advanced Manufacturing Technology","","53","9 - 12","10.1007/s00170-010-2908-8","Jiaqing YuJianzhong ChaYiping LuYu Zhuang","2011","http://link.springer.com/article/10.1007/s00170-010-2908-8","Article"
"Multi-agent negotiation based on price schedules algorithm for distributed collaborative design","Journal of Intelligent Manufacturing","","24","3","10.1007/s10845-011-0609-2","Yung-I LinYu-Wen ChouJiun-Yan ShiauChih-Hsing Chu","2013","http://link.springer.com/article/10.1007/s10845-011-0609-2","Article"
"Using a knowledge-based intelligent system to support dynamic design reasoning for a collaborative design community","The International Journal of Advanced Manufacturing Technology","","31","5 - 6","10.1007/s00170-005-0231-6","T. A. ChiangA. J. C. TrappeyC. C. Ku","2006","http://link.springer.com/article/10.1007/s00170-005-0231-6","Article"
"Machine learning and dynamic user interfaces in a context aware nurse application environment","Journal of Ambient Intelligence and Humanized Computing","","8","2","10.1007/s12652-016-0384-1","Nathaniel HamAmir DirinTeemu H. Laine","2017","http://link.springer.com/article/10.1007/s12652-016-0384-1","Article"
"A discussion of building automation and stakeholder engagement for the readiness of energy flexible buildings","Energy Informatics","","1","1","10.1186/s42162-018-0061-z","Zheng MaBo Nørregaard Jørgensen","2018","http://link.springer.com/article/10.1186/s42162-018-0061-z","Article"
