Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Knowledge Discovery in Collaborative Design Projects","Advances in Production Management Systems. Innovative and Knowledge-Based Production Management in a Global-Local World","","","","10.1007/978-3-662-44739-0_15","Xinghang DaiNada MattaGuillaume Ducellier","2014","http://link.springer.com/chapter/10.1007/978-3-662-44739-0_15","Chapter"
"HCI Themes for the Future: Collaborative Design, Social Creativity, and Meta-design","Human-Computer Interaction – INTERACT 2007","","","","10.1007/978-3-540-74800-7_92","Gerhard Fischer","2007","http://link.springer.com/chapter/10.1007/978-3-540-74800-7_92","Chapter"
"Capturing Decisions and Rationale from Collaborative Design","Design Computing and Cognition '08","","","","10.1007/978-1-4020-8728-8_12","Janet E. BurgeJames D. Kiper","2008","http://link.springer.com/chapter/10.1007/978-1-4020-8728-8_12","Chapter"
"Unexpected Exceptions Handling Based on Chinese Question Answering in Collaborative Design","Computer Supported Cooperative Work in Design III","","","","10.1007/978-3-540-72863-4_12","Feng TianRenhou LiBo ChenJiao DingQinghua Zheng","2007","http://link.springer.com/chapter/10.1007/978-3-540-72863-4_12","Chapter"
"Collaborative Design Optimization Based on Knowledge Discovery from Simulation","MICAI 2006: Advances in Artificial Intelligence","","","","10.1007/11925231_63","Jie HuYinghong Peng","2006","http://link.springer.com/chapter/10.1007/11925231_63","Chapter"
"Planning in Multiagent Expedition with Collaborative Design Networks","Advances in Artificial Intelligence","","","","10.1007/978-3-540-72665-4_45","Yang XiangFrank Hanshar","2007","http://link.springer.com/chapter/10.1007/978-3-540-72665-4_45","Chapter"
"Unraveling Challenges in Collaborative Design: A Literature Study","Groupware: Design, Implementation, and Use","","","","10.1007/978-3-642-04216-4_20","Kalle PiirainenGwendolyn KolfschotenStephan Lukosch","2009","http://link.springer.com/chapter/10.1007/978-3-642-04216-4_20","Chapter"
"Collaborative Design Prototyping Tool for Hardware Software Integrated Information Appliances","Virtual Reality","","","","10.1007/978-3-540-73335-5_55","Tek-Jin Nam","2007","http://link.springer.com/chapter/10.1007/978-3-540-73335-5_55","Chapter"
"Resolving Collaborative Design Conflicts Through an Ontology-based Approach","Collaborative Product and Service Life Cycle Management for a Sustainable World","","","","10.1007/978-1-84800-972-1_2","Moisés DutraParisa GhodousRicardo Gonçalves","2008","http://link.springer.com/chapter/10.1007/978-1-84800-972-1_2","Chapter"
"Robots for Real: Developing a Participatory Design Framework for Implementing Educational Robots in Real-World Learning Environments","Human-Computer Interaction – INTERACT 2013","","","","10.1007/978-3-642-40480-1_29","Lykke Brogaard BertelDorte Malig RasmussenEllen Christiansen","2013","http://link.springer.com/chapter/10.1007/978-3-642-40480-1_29","Chapter"
"Roles of Negotiation Protocol and Strategy in Collaborative Design","Design Computing and Cognition '08","","","","10.1007/978-1-4020-8728-8_26","Yan JinMathieu Geslin","2008","http://link.springer.com/chapter/10.1007/978-1-4020-8728-8_26","Chapter"
"Methodology of Collaborative Design for PLM on Agricultural Machinery","Proceedings of the 2012 International Conference on Communication, Electronics and Automation Engineering","","","","10.1007/978-3-642-31698-2_39","Junming HouDexu Yang","2013","http://link.springer.com/chapter/10.1007/978-3-642-31698-2_39","Chapter"
"An Agent-Based Intelligent CAD Platform for Collaborative Design","Advanced Intelligent Computing Theories and Applications. With Aspects of Contemporary Intelligent Computing Techniques","","","","10.1007/978-3-540-85930-7_64","Quan LiuXingran CuiXiuyin Hu","2008","http://link.springer.com/chapter/10.1007/978-3-540-85930-7_64","Chapter"
"Scaling Up: From Individual Design to Collaborative Design to Collective Design","Design Computing and Cognition ’10","","","","10.1007/978-94-007-0510-4_31","Mary Lou MaherMercedes PauliniPaul Murty","2011","http://link.springer.com/chapter/10.1007/978-94-007-0510-4_31","Chapter"
"A Reasoning Approach for Conflict Dealing in Collaborative Design","Complex Systems Concurrent Engineering","","","","10.1007/978-1-84628-976-7_55","Moisés DutraParisa Ghodous","2007","http://link.springer.com/chapter/10.1007/978-1-84628-976-7_55","Chapter"
"Paper or Pixel? Comparing Paper- and Tool-Based Participatory Design Approaches","Human-Computer Interaction – INTERACT 2015","","","","10.1007/978-3-319-22698-9_34","Matthias HeintzEffie Lai-Chong LawSamaneh Soleimani","2015","http://link.springer.com/chapter/10.1007/978-3-319-22698-9_34","Chapter"
