Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Human-Centered Explainable AI: Towards a Reflective Sociotechnical Approach","HCI International 2020 - Late Breaking Papers: Multimodality and Intelligence","","","","10.1007/978-3-030-60117-1_33","Upol EhsanMark O. Riedl","2020","http://link.springer.com/chapter/10.1007/978-3-030-60117-1_33","Chapter"
"The Development of an Artificial Intelligence Assistant for Participatory Design in the Engineering Design Educational Environment","The Impact of the 4th Industrial Revolution on Engineering Education","","","","10.1007/978-3-030-40274-7_36","Yu-Hung ChienHsien-Sheng HsiaoYu-Shan ChangChun-Kai Yao","2020","http://link.springer.com/chapter/10.1007/978-3-030-40274-7_36","Chapter"
"Designing IoT Solutions for Elderly Home Care: A Systematic Study of Participatory Design, Personas and Semiotics","Universal Access in Human-Computer Interaction. Virtual, Augmented, and Intelligent Environments","","","","10.1007/978-3-319-92052-8_18","Renata de Podestá GasparRodrigo BonacinVinícius P. Gonçalves","2018","http://link.springer.com/chapter/10.1007/978-3-319-92052-8_18","Chapter"
"Applications for Persuasive Technologies in Participatory Design Processes","Persuasive Technology: Development of Persuasive and Behavior Change Support Systems","","","","10.1007/978-3-030-17287-9_7","Max JalowskiAlbrecht FritzscheKathrin M. Möslein","2019","http://link.springer.com/chapter/10.1007/978-3-030-17287-9_7","Chapter"
"The Use of Working Prototypes for Participatory Design with People with Disabilities","Computers Helping People with Special Needs","","","","10.1007/978-3-319-41264-1_19","Brandon HaworthMuhammad UsmanMelanie BaljkoFoad Hamidi","2016","http://link.springer.com/chapter/10.1007/978-3-319-41264-1_19","Chapter"
"Using Participatory Design to Create a User Interface for Analyzing Pivotal Response Treatment Video Probes","Smart Multimedia","","","","10.1007/978-3-030-54407-2_16","Corey D. C. HeathTracey HeathTroy McDanielHemanth VenkateswaraSethuraman Panchanathan","2020","http://link.springer.com/chapter/10.1007/978-3-030-54407-2_16","Chapter"
"Participatory Design to Lower the Threshold for Intelligent Support Authoring","Artificial Intelligence in Education","","","","10.1007/978-3-030-23207-8_35","Manolis MavrikisSokratis KarkalasMutlu CukurovaEmmanouela Papapesiou","2019","http://link.springer.com/chapter/10.1007/978-3-030-23207-8_35","Chapter"
"Computer-Aided Selection of Participatory Design Methods","Advances in Production Management Systems. Towards Smart Production Management Systems","","","","10.1007/978-3-030-29996-5_54","Michael BojkoRalph RiedelMandy Tawalbeh","2019","http://link.springer.com/chapter/10.1007/978-3-030-29996-5_54","Chapter"
"POP: An Instrument to Decide on the Adoption of Participatory Design","Human-Computer Interaction. Theory, Design, Development and Practice","","","","10.1007/978-3-319-39510-4_14","Helder Cognaco de OliveiraMarcelo da Silva HounsellIsabela Gasparini","2016","http://link.springer.com/chapter/10.1007/978-3-319-39510-4_14","Chapter"
"Maritime Spatial Planning – A Board Game for Stakeholder Involvement","Simulation Gaming. Applications for Sustainable Cities and Smart Infrastructures","","","","10.1007/978-3-319-91902-7_6","Xander KeijserMalena RipkenHarald WarmelinkLodewijk AbspoelRhona FairgrieveIgor Mayer","2018","http://link.springer.com/chapter/10.1007/978-3-319-91902-7_6","Chapter"
"Participatory Design with On-line Focus Groups and Normative Systems","Advances in Artificial Intelligence","","","","10.1007/978-3-030-00374-6_7","Marlon CárdenasNoelia García CastilloJorge Gómez-SanzJuan Pavón","2018","http://link.springer.com/chapter/10.1007/978-3-030-00374-6_7","Chapter"
"Explainable Artificial Intelligence: What Do You Need to Know?","Augmented Cognition. Theoretical and Technological Approaches","","","","10.1007/978-3-030-50353-6_20","Sam HepenstalDavid McNeish","2020","http://link.springer.com/chapter/10.1007/978-3-030-50353-6_20","Chapter"
"A Meta-Language Approach for Machine Learning","Advances in Artificial Intelligence, Software and Systems Engineering","","","","10.1007/978-3-030-20454-9_19","Nicholas CaporussoTrent HelmsPeng Zhang","2020","http://link.springer.com/chapter/10.1007/978-3-030-20454-9_19","Chapter"
